"id","zugid","zugverkehrstyp","zugtyp","zugowner","zugklasse","zugnummer","zugnummerfull","linie","evanr","arzeitsoll","arzeitist","dpzeitsoll","dpzeitist","gleissoll","gleisist","datum","streckengeplanthash","streckenchangedhash","zugstatus"
"3071402","7461808659856105229-1712061927-1","S","p","03","S","30232","S30232","2","8000080",NULL,NULL,"19:27:00","19:27:00","6","6","2017-12-06","dd612aee","94427813","n"
"3071403","-4984555889666950896-1712061835-17","S","p","03","S","30231","S30231","2","8000080","19:33:00","19:42:00",NULL,NULL,"6","6","2017-12-06","33f099a9","94427813","n"
"3071404","3316557286903702286-1712061907-1","D","p","R2","ERB","90345","ERB90345","59","8000080",NULL,NULL,"19:07:00","19:07:00","4","4","2017-12-06","7fc1c77d","94427813","n"
"3071405","-4521437519262178170-1712061355-12","F","p","80","ICE","624","ICE624",,"8000080","19:30:00","20:02:00",NULL,NULL,"18","11","2017-12-06","861ec296","94427813","n"
"3071406","1372751043205302214-1712061651-21","N","p","03","RE","10133","RE10133","1","8000080","19:14:00","19:22:00","19:16:00","19:24:00","8","8","2017-12-06","34ef9881","94427813","n"
"3071407","-3666300709799895472-1712061806-15","N","p","03","RB","10486","RB10486","52","8000080","19:27:00","19:28:00",NULL,NULL,"3","3","2017-12-06","df256be8","94427813","n"
"3071408","5130535549115659286-1712061831-11","S","p","03","S","31299","S31299","2","8000080","19:13:00","19:16:00",NULL,NULL,"6","6","2017-12-06","43c4dc50","94427813","n"
"3071409","-5524702731542660499-1712061907-1","S","p","03","S","31258","S31258","2","8000080",NULL,NULL,"19:07:00","19:07:00","6","6","2017-12-06","4906edb3","94427813","n"
"3071410","-6364039003748193985-1712061930-7","D","p","R2","ERB","89896","ERB89896","RE3","8000080","19:58:00","20:03:00","20:03:00","20:06:00","21","21","2017-12-06","0289ebfc","94427813","n"
"3071411","1049097377388392409-1712061558-10","F","p","80","IC","1923","IC1923",,"8000080","19:48:00","19:44:00","19:52:00","19:52:00","11","11","2017-12-06","e42b143f","94427813","n"
"3071412","-3634986682697508767-1712061909-1","N","p","03","RE","10432","RE10432","4","8000080",NULL,NULL,"19:09:00","19:09:00","20","20","2017-12-06","65f2fd84","b8ea5cb8","c"
"3071414","-7019409623240697511-1712061933-5","S","p","03","S","31567","S31567","5","8000080","19:49:00","19:49:00",NULL,NULL,"5","5","2017-12-06","12579a90","94427813","n"
"3071415","5237518911145882863-1712061702-20","N","p","03","RB","20273","RB20273","51","8000080","19:07:00","19:07:00",NULL,NULL,"23","23","2017-12-06","b8d4c8bc","94427813","n"
"3071416","4866649218058075462-1712061833-12","D","p","R2","ERB","90390","ERB90390","59","8000080","19:21:00","19:25:00",NULL,NULL,"4","4","2017-12-06","f7253f4a","94427813","n"
"3071417","-5257098755503887479-1712061935-1","D","p","R2","ERB","89946","ERB89946","50","8000080",NULL,NULL,"19:35:00","19:36:00","21","21","2017-12-06","d832719b","94427813","n"
"3071418","-2404170432985554630-1712061923-1","S","p","03","S","31128","S31128","1","8000080",NULL,NULL,"19:23:00","19:23:00","7","7","2017-12-06","45aeb500","94427813","n"
"3071419","-7642749524873959371-1712061741-12","N","p","03","RE","10631","RE10631","6","8000080","19:52:00","19:54:00","19:54:00","19:56:00","8","8","2017-12-06","a22dc998","94427813","n"
"3071420","-3785456031742158471-1712061713-39","S","p","03","S","31113","S31113","1","8000080","19:06:00","19:25:00",NULL,NULL,,,"2017-12-06","4e627381","7ee55bf7","c"
"3071421","3408902549834408062-1712061952-1","N","p","03","RB","20282","RB20282","51","8000080",NULL,NULL,"19:52:00","19:52:00","23","23","2017-12-06","67c9dcb6","94427813","n"
"3071422","-2252549594167540246-1712061941-1","N","p","03","RE","10779","RE10779","57","8000080",NULL,NULL,"19:41:00","19:41:00","2","2","2017-12-06","396b81aa","94427813","n"
"3071423","-2661729486119231897-1712061850-5","N","p","03","RB","14654","RB14654","53","8000080","19:08:00","19:10:00",NULL,NULL,"3","3","2017-12-06","2b7a149b","94427813","n"
"3071424","-4036473752574468375-1712061932-1","N","p","03","RB","10491","RB10491","52","8000080",NULL,NULL,"19:32:00","19:33:00","3","3","2017-12-06","40ff75c3","94427813","n"
"3071425","-7855960997022954272-1712061932-1","N","p","03","RB","14481","RB14481","43","8000080",NULL,NULL,"19:32:00","19:32:00","23","23","2017-12-06","60a9104d","94427813","n"
"3071426","6954924236955692259-1712061328-14","F","p","80","ICE","516","ICE516",,"8000080","19:21:00","19:27:00",NULL,NULL,"8","8","2017-12-06","9f9346d1","94427813","n"
"3071427","2318640568963648663-1712061947-2","S","p","03","S","31260","S31260","2","8000081","19:51:00","19:51:00","19:53:00","19:53:00","3","3","2017-12-06","4906edb3","c787e2a8","n"
"3071428","-5345125353492885706-1712061856-5","S","p","03","S","31451","S31451","4","8000081","19:06:00","19:06:00","19:10:00","19:11:00","5","5","2017-12-06","c097042c","c787e2a8","n"
"3071429","-7201964256112875057-1712061953-2","S","p","03","S","31130","S31130","1","8000081","19:55:00","19:57:00","19:56:00","19:57:00","1","1","2017-12-06","45aeb500","c787e2a8","n"
"3071430","-3380467535371523048-1712061853-15","S","p","03","S","30490","S30490","4","8000081","19:31:00","19:31:00","19:33:00","19:33:00","4","4","2017-12-06","d10eafe4","c787e2a8","n"
"3071431","-8122367746725237606-1712061907-13","S","p","03","S","31259","S31259","2","8000081","19:48:00","19:59:00","19:50:00","20:00:00","6","6","2017-12-06","0dec83d2","c787e2a8","n"
"3071432","-2901259878278624316-1712061913-15","S","p","03","S","30492","S30492","4","8000081","19:51:00","19:51:00","19:53:00","19:53:00","4","4","2017-12-06","d10eafe4","c787e2a8","n"
"3071433","-478214788768927764-1712061733-38","S","p","03","S","31115","S31115","1","8000081","19:32:00","19:32:00","19:33:00","19:33:00","2","2","2017-12-06","4e627381","c787e2a8","n"
"3071434","7461808659856105229-1712061927-2","S","p","03","S","30232","S30232","2","8000081","19:31:00","19:31:00","19:33:00","19:33:00","3","3","2017-12-06","dd612aee","c787e2a8","n"
"3071435","-4984555889666950896-1712061835-16","S","p","03","S","30231","S30231","2","8000081","19:28:00","19:38:00","19:30:00","19:39:00","6","6","2017-12-06","33f099a9","c787e2a8","n"
